psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
19	1	0	0	0	0	0	0	+	53-30039	20	0	20	mmu-mir-26a-2	84	13	33	1	20,	0,	13,
19	1	0	0	0	0	0	0	+	54-29704	20	0	20	mmu-mir-467h	121	79	99	1	20,	0,	79,
20	0	0	0	0	0	0	0	+	54-29704	20	0	20	mmu-mir-467e	87	10	30	1	20,	0,	10,
20	0	0	0	0	0	0	0	+	56-29223	20	0	20	mmu-mir-409	79	46	66	1	20,	0,	46,
19	0	0	0	0	0	0	0	+	57-28891	19	0	19	mmu-mir-26b	85	14	33	1	19,	0,	14,
18	1	0	0	0	0	0	0	+	57-28891	19	0	19	mmu-mir-26a-2	84	13	32	1	19,	0,	13,
20	1	0	0	0	0	0	0	+	58-28581	21	0	21	mmu-mir-17	84	13	34	1	21,	0,	13,
21	0	0	0	0	0	0	0	+	58-28581	21	0	21	mmu-mir-106a	65	4	25	1	21,	0,	4,
21	0	0	0	0	0	0	0	+	60-28243	21	0	21	mmu-mir-107	87	51	72	1	21,	0,	51,
21	0	0	0	0	0	0	0	+	60-28243	21	0	21	mmu-mir-103-2	86	51	72	1	21,	0,	51,
21	0	0	0	0	0	0	0	+	60-28243	21	0	21	mmu-mir-103-1	86	51	72	1	21,	0,	51,
19	0	0	0	0	0	0	0	+	61-26822	19	0	19	mmu-mir-292	82	11	30	1	19,	0,	11,
20	0	0	0	0	0	0	0	+	64-24537	20	0	20	mmu-mir-92a-2	91	54	74	1	20,	0,	54,
20	0	0	0	0	0	0	0	+	64-24537	20	0	20	mmu-mir-92a-1	80	49	69	1	20,	0,	49,
19	0	0	0	0	0	0	0	+	65-24176	20	1	20	mmu-mir-291b	79	13	32	1	19,	1,	13,
20	0	0	0	0	0	0	0	+	65-24176	20	0	20	mmu-mir-291a	82	13	33	1	20,	0,	13,
19	1	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467h	121	80	100	1	20,	0,	80,
18	2	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467e	87	11	31	1	20,	0,	11,
19	1	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467d	85	10	30	1	20,	0,	10,
20	0	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467c	97	10	30	1	20,	0,	10,
19	1	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467b	73	9	29	1	20,	0,	9,
19	1	0	0	0	0	0	0	+	66-22624	20	0	20	mmu-mir-467a-1	73	9	29	1	20,	0,	9,
19	0	0	0	0	0	0	0	+	67-21291	19	0	19	mmu-mir-27b	73	48	67	1	19,	0,	48,
18	0	0	0	0	0	0	0	+	67-21291	19	0	18	mmu-mir-27a	87	55	73	1	18,	0,	55,
20	0	0	0	0	0	0	0	+	68-20622	20	0	20	mmu-mir-370	79	47	67	1	20,	0,	47,
21	0	0	0	0	0	0	0	+	69-19612	21	0	21	mmu-mir-181d	72	6	27	1	21,	0,	6,
20	1	0	0	0	0	0	0	+	69-19612	21	0	21	mmu-mir-181b-2	89	15	36	1	21,	0,	15,
20	1	0	0	0	0	0	0	+	69-19612	21	0	21	mmu-mir-181b-1	80	11	32	1	21,	0,	11,
20	0	0	0	0	0	0	0	+	71-19368	20	0	20	mmu-mir-134	71	6	26	1	20,	0,	6,
20	0	0	0	0	0	0	0	+	72-19339	20	0	20	mmu-mir-467d	85	9	29	1	20,	0,	9,
19	1	0	0	0	0	0	0	+	72-19339	20	0	20	mmu-mir-467c	97	9	29	1	20,	0,	9,
20	0	0	0	0	0	0	0	+	74-18894	20	0	20	mmu-mir-320	82	47	67	1	20,	0,	47,
19	1	0	0	0	0	0	0	+	75-18461	21	0	20	mmu-mir-26b	85	14	34	1	20,	0,	14,
21	0	0	0	0	0	0	0	+	75-18461	21	0	21	mmu-mir-26a-2	84	13	34	1	21,	0,	13,
21	0	0	0	0	0	0	0	+	75-18461	21	0	21	mmu-mir-26a-1	90	15	36	1	21,	0,	15,
19	0	0	0	0	0	0	0	+	76-18028	19	0	19	mmu-mir-411	82	15	34	1	19,	0,	15,
20	0	0	0	0	0	0	0	+	77-17968	20	0	20	mmu-mir-298	82	10	30	1	20,	0,	10,
21	0	0	0	0	0	0	0	+	78-17895	21	0	21	mmu-mir-324	89	17	38	1	21,	0,	17,
16	0	0	0	0	0	0	0	+	79-17727	21	0	16	mmu-mir-302d	66	42	58	1	16,	0,	42,
16	0	0	0	0	0	0	0	+	79-17727	21	0	16	mmu-mir-302c	68	43	59	1	16,	0,	43,
21	0	0	0	0	0	0	0	+	79-17727	21	0	21	mmu-mir-302b	74	48	69	1	21,	0,	48,
17	0	0	0	0	0	0	0	+	79-17727	21	0	17	mmu-mir-302a	69	44	61	1	17,	0,	44,
20	0	0	0	0	0	0	0	+	80-16908	20	0	20	mmu-mir-292	82	11	31	1	20,	0,	11,
18	1	0	0	0	0	0	0	+	81-16627	19	0	19	mmu-mir-26b	85	14	33	1	19,	0,	14,
19	0	0	0	0	0	0	0	+	81-16627	19	0	19	mmu-mir-26a-2	84	13	32	1	19,	0,	13,
19	0	0	0	0	0	0	0	+	81-16627	19	0	19	mmu-mir-26a-1	90	15	34	1	19,	0,	15,
18	2	0	0	0	0	0	0	+	83-16358	20	0	20	mmu-mir-669o	96	17	37	1	20,	0,	17,
16	0	0	0	0	0	0	0	+	83-16358	20	4	20	mmu-mir-669n	54	5	21	1	16,	4,	5,
18	1	0	0	0	0	0	0	+	83-16358	20	0	19	mmu-mir-669f	121	17	36	1	19,	0,	17,
20	0	0	0	0	0	0	0	+	83-16358	20	0	20	mmu-mir-669c	109	23	43	1	20,	0,	23,
17	1	0	0	0	0	0	0	+	83-16358	20	0	18	mmu-mir-669a-3	109	25	43	1	18,	0,	25,
17	1	0	0	0	0	0	0	+	83-16358	20	0	18	mmu-mir-669a-2	97	19	37	1	18,	0,	19,
17	1	0	0	0	0	0	0	+	83-16358	20	0	18	mmu-mir-669a-1	97	17	35	1	18,	0,	17,
20	0	0	0	0	0	0	0	+	85-16073	20	0	20	mmu-mir-292	82	50	70	1	20,	0,	50,
19	0	0	0	0	0	0	0	+	86-15948	19	0	19	mmu-mir-294	84	51	70	1	19,	0,	51,
20	0	0	0	0	0	0	0	+	87-15946	20	0	20	mmu-mir-291a	82	49	69	1	20,	0,	49,
20	0	0	0	0	0	0	0	+	88-15505	20	0	20	mmu-mir-292	82	51	71	1	20,	0,	51,
20	0	0	0	0	0	0	0	+	89-15421	20	0	20	mmu-mir-433	124	66	86	1	20,	0,	66,
21	0	0	0	0	0	0	0	+	90-15305	21	0	21	mmu-mir-93	88	14	35	1	21,	0,	14,
16	0	0	0	0	0	0	0	+	91-15123	20	0	16	mmu-mir-302d	66	42	58	1	16,	0,	42,
16	0	0	0	0	0	0	0	+	91-15123	20	0	16	mmu-mir-302c	68	43	59	1	16,	0,	43,
19	1	0	0	0	0	0	0	+	91-15123	20	0	20	mmu-mir-302b	74	48	68	1	20,	0,	48,
20	0	0	0	0	0	0	0	+	91-15123	20	0	20	mmu-mir-302a	69	44	64	1	20,	0,	44,
21	0	0	0	0	0	0	0	+	92-14663	21	0	21	mmu-mir-20b	80	11	32	1	21,	0,	11,
19	2	0	0	0	0	0	0	+	92-14663	21	0	21	mmu-mir-17	84	13	34	1	21,	0,	13,
21	0	0	0	0	0	0	0	+	93-14353	21	0	21	mmu-mir-298	82	10	31	1	21,	0,	10,
17	0	0	0	0	0	0	0	+	94-14265	22	0	17	mmu-mir-302d	66	41	58	1	17,	0,	41,
22	0	0	0	0	0	0	0	+	94-14265	22	0	22	mmu-mir-302b	74	47	69	1	22,	0,	47,
18	0	0	0	0	0	0	0	+	94-14265	22	0	18	mmu-mir-302a	69	43	61	1	18,	0,	43,
19	0	0	0	0	0	0	0	+	95-13902	19	0	19	mmu-mir-295	69	42	61	1	19,	0,	42,
21	0	0	0	0	0	0	0	+	98-12875	21	0	21	mmu-mir-342	99	60	81	1	21,	0,	60,
20	0	0	0	0	0	0	0	+	99-12652	20	0	20	mmu-mir-16-2	95	17	37	1	20,	0,	17,
20	0	0	0	0	0	0	0	+	99-12652	20	0	20	mmu-mir-16-1	93	16	36	1	20,	0,	16,
21	0	0	0	0	0	0	0	+	100-12587	21	0	21	mmu-mir-186	71	6	27	1	21,	0,	6,
18	0	0	0	0	0	0	0	+	101-12376	19	0	18	mmu-mir-27b	73	48	66	1	18,	0,	48,
19	0	0	0	0	0	0	0	+	101-12376	19	0	19	mmu-mir-27a	87	55	74	1	19,	0,	55,
19	1	0	0	0	0	0	0	+	107-11041	20	0	20	mmu-mir-467h	121	80	100	1	20,	0,	80,
20	0	0	0	0	0	0	0	+	107-11041	20	0	20	mmu-mir-467e	87	11	31	1	20,	0,	11,
18	2	0	0	0	0	0	0	+	107-11041	20	0	20	mmu-mir-467d	85	10	30	1	20,	0,	10,
18	2	0	0	0	0	0	0	+	107-11041	20	0	20	mmu-mir-467c	97	10	30	1	20,	0,	10,
21	0	0	0	0	0	0	0	+	108-11028	21	0	21	mmu-mir-17	84	13	34	1	21,	0,	13,
20	1	0	0	0	0	0	0	+	108-11028	21	0	21	mmu-mir-106a	65	4	25	1	21,	0,	4,
21	0	0	0	0	0	0	0	+	109-10937	21	0	21	mmu-mir-31	106	27	48	1	21,	0,	27,
21	0	0	0	0	0	0	0	+	112-10687	21	0	21	mmu-mir-494	85	49	70	1	21,	0,	49,
19	0	0	0	0	0	0	0	+	113-10621	19	0	19	mmu-mir-101b	97	59	78	1	19,	0,	59,
20	0	0	0	0	0	0	0	+	114-10595	21	1	21	mmu-mir-292	82	51	71	1	20,	1,	51,
20	0	0	0	0	0	0	0	+	115-10507	20	0	20	mmu-mir-295	69	42	62	1	20,	0,	42,
20	1	0	0	0	0	0	0	+	116-10485	21	0	21	mmu-mir-669o	96	19	40	1	21,	0,	19,
16	0	0	0	0	0	0	0	+	116-10485	21	0	16	mmu-mir-669l	98	18	34	1	16,	0,	18,
20	1	0	0	0	0	0	0	+	116-10485	21	0	21	mmu-mir-669f	121	19	40	1	21,	0,	19,
18	0	0	0	0	0	0	0	+	116-10485	21	2	20	mmu-mir-669e	119	46	64	1	18,	2,	46,
21	0	0	0	0	0	0	0	+	116-10485	21	0	21	mmu-mir-669a-3	109	27	48	1	21,	0,	27,
21	0	0	0	0	0	0	0	+	116-10485	21	0	21	mmu-mir-669a-2	97	21	42	1	21,	0,	21,
21	0	0	0	0	0	0	0	+	116-10485	21	0	21	mmu-mir-669a-1	97	19	40	1	21,	0,	19,
21	1	0	0	0	0	0	0	+	117-10160	22	0	22	mmu-mir-669o	96	19	41	1	22,	0,	19,
16	0	0	0	0	0	0	0	+	117-10160	22	0	16	mmu-mir-669l	98	18	34	1	16,	0,	18,
21	1	0	0	0	0	0	0	+	117-10160	22	0	22	mmu-mir-669f	121	19	41	1	22,	0,	19,
19	1	0	0	0	0	0	0	+	117-10160	22	2	22	mmu-mir-669e	119	46	66	1	20,	2,	46,
22	0	0	0	0	0	0	0	+	117-10160	22	0	22	mmu-mir-669a-3	109	27	49	1	22,	0,	27,
22	0	0	0	0	0	0	0	+	117-10160	22	0	22	mmu-mir-669a-2	97	21	43	1	22,	0,	21,
22	0	0	0	0	0	0	0	+	117-10160	22	0	22	mmu-mir-669a-1	97	19	41	1	22,	0,	19,
22	0	0	0	0	0	0	0	+	118-10128	22	0	22	mmu-mir-342	99	60	82	1	22,	0,	60,
20	0	0	0	0	0	0	0	+	119-10017	21	1	21	mmu-mir-291b	79	13	33	1	20,	1,	13,
21	0	0	0	0	0	0	0	+	119-10017	21	0	21	mmu-mir-291a	82	13	34	1	21,	0,	13,
20	1	0	0	0	0	0	0	+	120-9917	21	0	21	mmu-mir-302d	66	42	63	1	21,	0,	42,
21	0	0	0	0	0	0	0	+	120-9917	21	0	21	mmu-mir-302c	68	43	64	1	21,	0,	43,
16	0	0	0	0	0	0	0	+	120-9917	21	0	16	mmu-mir-302b	74	48	64	1	16,	0,	48,
16	0	0	0	0	0	0	0	+	120-9917	21	0	16	mmu-mir-302a	69	44	60	1	16,	0,	44,
22	0	0	0	0	0	0	0	+	121-9838	22	0	22	mmu-mir-30e	92	16	38	1	22,	0,	16,
20	2	0	0	0	0	0	0	+	121-9838	22	0	22	mmu-mir-30d	82	11	33	1	22,	0,	11,
21	1	0	0	0	0	0	0	+	121-9838	22	0	22	mmu-mir-30a	71	5	27	1	22,	0,	5,
20	1	0	0	0	0	0	0	+	123-9581	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
20	0	0	0	0	0	0	0	+	126-9131	20	0	20	mmu-mir-191	74	6	26	1	20,	0,	6,
19	0	0	0	0	0	0	0	+	128-9032	19	0	19	mmu-mir-218-2	110	24	43	1	19,	0,	24,
19	0	0	0	0	0	0	0	+	128-9032	19	0	19	mmu-mir-218-1	110	24	43	1	19,	0,	24,
20	1	0	0	0	0	0	0	+	129-9023	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
20	1	0	0	0	0	0	0	+	130-8977	21	0	21	mmu-mir-292	82	50	71	1	21,	0,	50,
20	2	0	0	0	0	0	0	+	131-8782	22	0	22	mmu-mir-30e	92	16	38	1	22,	0,	16,
22	0	0	0	0	0	0	0	+	131-8782	22	0	22	mmu-mir-30d	82	11	33	1	22,	0,	11,
21	1	0	0	0	0	0	0	+	131-8782	22	0	22	mmu-mir-30a	71	5	27	1	22,	0,	5,
19	0	0	0	0	0	0	0	+	133-8641	19	0	19	mmu-mir-130b	82	50	69	1	19,	0,	50,
20	1	0	0	0	0	0	0	+	136-8515	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
20	0	0	0	0	0	0	0	+	137-8424	20	0	20	mmu-mir-28	86	13	33	1	20,	0,	13,
20	0	0	0	0	0	0	0	+	140-8218	20	0	20	mmu-mir-24-2	107	61	81	1	20,	0,	61,
20	0	0	0	0	0	0	0	+	140-8218	20	0	20	mmu-mir-24-1	68	44	64	1	20,	0,	44,
20	1	0	0	0	0	0	0	+	141-8199	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
17	0	0	0	0	0	0	0	+	141-8199	21	0	17	mmu-mir-302b	74	47	64	1	17,	0,	47,
20	1	0	0	0	0	0	0	+	141-8199	21	0	21	mmu-mir-302a	69	43	64	1	21,	0,	43,
19	0	0	0	0	0	0	0	+	142-8199	19	0	19	mmu-mir-302d	66	41	60	1	19,	0,	41,
18	1	0	0	0	0	0	0	+	142-8199	19	0	19	mmu-mir-302b	74	47	66	1	19,	0,	47,
17	0	0	0	0	0	0	0	+	142-8199	19	0	17	mmu-mir-302a	69	43	60	1	17,	0,	43,
21	0	0	0	0	0	0	0	+	143-8137	21	0	21	mmu-mir-293	80	47	68	1	21,	0,	47,
18	2	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7e	93	14	34	1	20,	0,	14,
20	0	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7c-2	95	13	33	1	20,	0,	13,
20	0	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7c-1	94	15	35	1	20,	0,	15,
19	1	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7b	85	6	26	1	20,	0,	6,
19	1	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7a-2	96	16	36	1	20,	0,	16,
19	1	0	0	0	0	0	0	+	144-8106	20	0	20	mmu-let-7a-1	94	12	32	1	20,	0,	12,
17	0	0	0	0	0	0	0	+	145-7896	19	0	17	mmu-mir-302d	66	41	58	1	17,	0,	41,
18	0	0	0	0	0	0	0	+	145-7896	19	0	18	mmu-mir-302b	74	47	65	1	18,	0,	47,
19	0	0	0	0	0	0	0	+	145-7896	19	0	19	mmu-mir-302a	69	43	62	1	19,	0,	43,
20	0	0	0	0	0	0	0	+	147-7779	20	0	20	mmu-mir-20a	107	26	46	1	20,	0,	26,
20	0	0	0	0	0	0	0	+	148-7658	20	0	20	mmu-mir-411	82	14	34	1	20,	0,	14,
20	0	0	0	0	0	0	0	+	149-7642	20	0	20	mmu-mir-674	100	24	44	1	20,	0,	24,
19	2	0	0	0	0	0	0	+	151-7581	21	0	21	mmu-mir-130b	82	50	71	1	21,	0,	50,
21	0	0	0	0	0	0	0	+	151-7581	21	0	21	mmu-mir-130a	64	41	62	1	21,	0,	41,
19	0	0	0	0	0	0	0	+	152-7537	19	0	19	mmu-mir-22	95	57	76	1	19,	0,	57,
19	1	0	0	0	0	0	0	+	153-7523	20	0	20	mmu-mir-669o	96	19	39	1	20,	0,	19,
16	0	0	0	0	0	0	0	+	153-7523	20	0	16	mmu-mir-669l	98	18	34	1	16,	0,	18,
19	1	0	0	0	0	0	0	+	153-7523	20	0	20	mmu-mir-669f	121	19	39	1	20,	0,	19,
18	0	0	0	0	0	0	0	+	153-7523	20	2	20	mmu-mir-669e	119	46	64	1	18,	2,	46,
20	0	0	0	0	0	0	0	+	153-7523	20	0	20	mmu-mir-669a-3	109	27	47	1	20,	0,	27,
20	0	0	0	0	0	0	0	+	153-7523	20	0	20	mmu-mir-669a-2	97	21	41	1	20,	0,	21,
20	0	0	0	0	0	0	0	+	153-7523	20	0	20	mmu-mir-669a-1	97	19	39	1	20,	0,	19,
21	0	0	0	0	0	0	0	+	155-7457	21	0	21	mmu-mir-26b	85	14	35	1	21,	0,	14,
19	1	0	0	0	0	0	0	+	155-7457	21	0	20	mmu-mir-26a-2	84	13	33	1	20,	0,	13,
20	1	0	0	0	0	0	0	+	156-7243	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
20	0	0	0	0	0	0	0	+	158-7123	20	0	20	mmu-mir-290	83	13	33	1	20,	0,	13,
19	0	0	0	0	0	0	0	+	160-6995	19	0	19	mmu-mir-669o	96	55	74	1	19,	0,	55,
19	0	0	0	0	0	0	0	+	160-6995	19	0	19	mmu-mir-669a-2	97	57	76	1	19,	0,	57,
19	0	0	0	0	0	0	0	+	160-6995	19	0	19	mmu-mir-669a-1	97	55	74	1	19,	0,	55,
20	0	0	0	0	0	0	0	+	161-6981	20	0	20	mmu-mir-452	85	52	72	1	20,	0,	52,
17	0	0	0	0	0	0	0	+	166-6835	17	0	17	mmu-mir-292	82	54	71	1	17,	0,	54,
19	0	0	0	0	0	0	0	+	167-6762	20	1	20	mmu-mir-294	84	51	70	1	19,	1,	51,
20	0	0	0	0	0	0	0	+	168-6688	21	0	20	mmu-mir-302d	66	41	61	1	20,	0,	41,
17	0	0	0	0	0	0	0	+	168-6688	21	0	17	mmu-mir-302b	74	47	64	1	17,	0,	47,
17	0	0	0	0	0	0	0	+	168-6688	21	0	17	mmu-mir-302a	69	43	60	1	17,	0,	43,
17	1	0	0	0	0	0	0	+	169-6481	21	0	18	mmu-mir-449b	80	10	28	1	18,	0,	10,
21	0	0	0	0	0	0	0	+	169-6481	21	0	21	mmu-mir-34c	77	12	33	1	21,	0,	12,
20	1	0	0	0	0	0	0	+	169-6481	21	0	21	mmu-mir-34b	84	13	34	1	21,	0,	13,
20	1	0	0	0	0	0	0	+	170-6440	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
19	1	0	0	0	0	0	0	+	171-6429	20	0	20	mmu-mir-302d	66	42	62	1	20,	0,	42,
20	0	0	0	0	0	0	0	+	171-6429	20	0	20	mmu-mir-302c	68	43	63	1	20,	0,	43,
19	1	0	0	0	0	0	0	+	171-6429	20	0	20	mmu-mir-302b	74	48	68	1	20,	0,	48,
16	0	0	0	0	0	0	0	+	171-6429	20	0	16	mmu-mir-302a	69	44	60	1	16,	0,	44,
21	1	0	0	0	0	0	0	+	172-6414	22	0	22	mmu-mir-30e	92	16	38	1	22,	0,	16,
21	1	0	0	0	0	0	0	+	172-6414	22	0	22	mmu-mir-30d	82	11	33	1	22,	0,	11,
22	0	0	0	0	0	0	0	+	172-6414	22	0	22	mmu-mir-30a	71	5	27	1	22,	0,	5,
20	1	0	0	0	0	0	0	+	173-6384	21	0	21	mmu-mir-302d	66	41	62	1	21,	0,	41,
16	0	0	0	0	0	0	0	+	173-6384	21	0	16	mmu-mir-302b	74	47	63	1	16,	0,	47,
16	0	0	0	0	0	0	0	+	173-6384	21	0	16	mmu-mir-302a	69	43	59	1	16,	0,	43,
